filename,start_time,occurring_time,end_time,material,action_type,effect
2015-09-29-14-34-21-197_denoised_35.mp4,0.387520999,1.387521,2.387521001,grass,scratch,scatter
2015-09-29-14-34-21-197_denoised_49.mp4,0.920312999,1.920313,2.9203130010000002,dirt,scratch,scatter
2015-09-29-14-34-21-197_denoised_65.mp4,1.588145999,2.588146,3.588146001,grass,scratch,scatter
2015-09-29-14-34-21-197_denoised_81.mp4,2.211280999,3.211281,4.211281001,leaf,scratch,scatter
2015-09-29-14-34-21-197_denoised_93.mp4,2.7133539989999997,3.713354,4.713354001,grass,scratch,scatter
2015-09-29-14-34-21-197_denoised_109.mp4,3.3590419989999996,4.359042,5.359042001,None,hit,scatter
2015-09-29-14-34-21-197_denoised_123.mp4,3.882739999,4.88274,5.882740001,rock,hit,rigid-motion
2015-09-29-14-34-21-197_denoised_137.mp4,4.456124999,5.456125,6.456125001,rock,hit,rigid-motion
2015-09-29-14-34-21-197_denoised_150.mp4,4.995020999,5.995021,6.9950210010000005,dirt,hit,splash
2015-09-29-14-34-21-197_denoised_177.mp4,6.058853999,7.058854,8.058854001,grass,hit,rigid-motion
2015-09-29-14-34-21-197_denoised_189.mp4,6.559915999,7.559916,8.559916001000001,dirt,hit,scatter
2015-09-29-14-34-21-197_denoised_254.mp4,9.150197999,10.150198,11.150198001,grass,scratch,scatter
2015-09-29-14-34-21-197_denoised_269.mp4,9.731187999,10.731188,11.731188001,grass,scratch,rigid-motion
2015-09-29-14-34-21-197_denoised_283.mp4,10.319978999,11.319979,12.319979001,grass,scratch,rigid-motion
2015-09-29-14-34-21-197_denoised_299.mp4,10.942093999,11.942094,12.942094001000001,grass,scratch,scatter
2015-09-29-14-34-21-197_denoised_331.mp4,12.207728999,13.207729,14.207729001,leaf,scratch,scatter
2015-09-29-14-34-21-197_denoised_345.mp4,12.787489999,13.78749,14.787490001,grass,scratch,scatter
2015-09-29-14-34-21-197_denoised_375.mp4,13.979312999,14.979313,15.979313001,grass,hit,None
2015-09-29-14-34-21-197_denoised_387.mp4,14.473332999,15.473333,16.473333001,dirt,hit,scatter
2015-09-29-14-34-21-197_denoised_413.mp4,15.500937999000001,16.500938,17.500938001,grass,hit,rigid-motion
