filename,start,desc,split
--56QUhyDQM,185,playing tennis,train
--5OkAjCI7g,40,people belly laughing,train
--8puiAGLhs,30,car engine starting,train
--96EN9NUQM,242,alarm clock ringing,train
--9O4XZOge4,30,"female speech, woman speaking",train
--EquRwM9IQ,8,playing volleyball,train
--HuBNHXu9I,30,"male speech, man speaking",train
--Lj4Y_96f0,120,"bee, wasp, etc. buzzing",train
--PlJNEnf-s,288,"bee, wasp, etc. buzzing",train
--Q8wkZvDZE,150,people whispering,train
--QVnZXkb_Y,98,coyote howling,train
--SQyOb8eS0,30,playing harp,train
--TKJIv9aY4,282,ambulance siren,train
--UE437qBIo,1,pheasant crowing,train
--XInAaMS6k,61,cap gun shooting,train
--XInAaMS6k,72,cap gun shooting,train
--bvmgIdDC8,30,female singing,train
--byNAHo7tQ,0,"race car, auto racing",train
--i-y1v8Hy8,0,female singing,test
--iY3Bf4hDg,30,"playing violin, fiddle",train
--qXTWmzUKA,30,playing bass guitar,train
--veKG73Di4,83,playing congas,train
--xDffQ9Mwo,30,car passing by,train
--yJcmmwiMc,30,playing acoustic guitar,train
--zOG2GRGY4,4,duck quacking,train
--zOG2GRGY4,14,duck quacking,train
-00nar1nEPc,33,playing harmonica,train
-03Hd0MBgQY,0,playing piano,train
-0BIyqJj9ZU,30,people belly laughing,test
-0DIFwkUpjQ,50,skateboarding,train
-0HxntVOLW4,508,"playing steel guitar, slide guitar",train
-0KPtvNQwSU,188,playing squash,train
-0KgYgXKFXs,30,female singing,train
-0LtujdJBYA,85,playing bass drum,train
-0SIsA5l5Eg,30,female singing,train
-0UQF2s0VYI,0,horse neighing,train
-0UyIRbzhlw,26,playing cello,train
-0VEyRPpHcY,181,people booing,train
-0VKonoRviE,197,church bell ringing,train
-0VKonoRviE,209,church bell ringing,train
-0VQXloTkoo,32,tap dancing,train
-0WZoijgWto,30,playing electric guitar,train
-0WxMOK3X5M,16,gibbon howling,train
-0WxMOK3X5M,59,gibbon howling,train
-0X1juZHG6I,30,toilet flushing,train
-0ZYW2yXKp8,22,bird wings flapping,train
-0aiCtGjNXE,30,"motorboat, speedboat acceleration",train
-0gYWIOfqdM,46,playing glockenspiel,train
-0jbsobEJg8,0,playing harpsichord,train
-0jbsobEJg8,22,playing harpsichord,train
-0kJ0SVWD7E,30,sheep bleating,train
-0lrq0dgfnQ,15,chimpanzee pant-hooting,train
-0lrq0dgfnQ,26,chimpanzee pant-hooting,train
-0mLdC1zRx8,16,playing cornet,train
-0pJqpNjft4,267,cow lowing,test
-0qyuT918Jc,75,planing timber,train
-0yQTraiAUY,30,"pigeon, dove cooing",train
-0zIOEW3mM4,16,pheasant crowing,train
-0zIOEW3mM4,26,pheasant crowing,train
-10VmSN3WzE,159,playing tabla,train
-10VmSN3WzE,218,playing tabla,train
-1Cvs1_xWW4,0,fire truck siren,train
-1GJQ3c94jQ,97,cat growling,train
-1JmE4eV4zE,442,beat boxing,train
-1LGZONdjkY,22,playing trumpet,train
-1LGZONdjkY,64,playing trumpet,train
-1MClsMVlF0,54,lighting firecrackers,train
-1QUpHlvDM4,0,chicken crowing,train
-1UP2kG24nM,50,"rowboat, canoe, kayak rowing",train
-1WK72M4xeg,220,driving motorcycle,train
-1XBP-nZ1bQ,90,playing acoustic guitar,train
-1cRD9GzcFY,0,air horn,train
-1dApgfibc4,0,"child speech, kid speaking",train
-1eOkp74EGU,287,lighting firecrackers,train
-1gKqs5p3I8,107,playing flute,train
-1iK6drewCE,184,playing synthesizer,train
-1iK6drewCE,349,playing synthesizer,train
-1oRfe0FQI8,60,"railroad car, train wagon",train
-1pRmoJIGQc,10,car engine knocking,test
-1q0XHPxqe8,80,"race car, auto racing",train
-1rZFviqTTQ,28,sharpen knife,train
-1ukRC9M6bc,50,playing drum kit,train
-1vfxCtpdEI,30,male singing,train
-20w_sCdwhk,16,reversing beeps,train
-25e5qcELvw,11,printer printing,train
-26aVYRtEAc,30,female singing,train
-26kjr5MxSI,0,chicken clucking,train
-28N8VI2emM,76,underwater bubbling,train
-2FKhYSw_zU,99,singing choir,train
-2JomCd5zzY,184,child singing,train
-2JomCd5zzY,287,child singing,train
-2LovF10IwM,179,ice cracking,train
-2McrNUTKQQ,30,female singing,train
-2Mt0URu_Xo,247,playing table tennis,train
-2TjevpJuAs,30,playing acoustic guitar,train
-2X5YwLlICg,2,door slamming,train
-2bOwXoTATM,373,playing bagpipes,train
-2gf4GmIplE,120,playing french horn,train
-2jAdijiM14,44,playing bagpipes,train
-2jWRtFugLs,0,sea waves,train
-2k4RLnPDbo,153,playing clarinet,train
-2k4RLnPDbo,333,playing clarinet,train
-2poGMEmbbk,98,using sewing machines,train
-2qJQqXbtZs,42,vacuum cleaner cleaning floors,train
-2qJQqXbtZs,128,vacuum cleaner cleaning floors,train
-2sOH8XovEE,484,playing table tennis,test
-2toZf00LvI,12,bowling impact,train
